,movie,year,imdb,metascore,votes
1739,Pelé: Birth of a Legend,(2016),7.1,39        ,"18,085"
1740,The Other Side of the Door,(2016),5.3,41        ,"18,039"
1741,Terrifier,(2016),5.6,,"17,544"
1742,Don't Think Twice,(2016),6.7,83        ,"17,538"
1743,Mine,(II) (2016),5.9,40        ,"17,337"
1744,The Monster,(2016),5.4,69        ,"17,297"
1745,Queen of Katwe,(2016),7.4,73        ,"17,157"
1746,A Dark Song,(2016),6.2,71        ,"17,151"
1747,Pet,(I) (2016),5.7,48        ,"17,129"
1748,Blue Jay,(I) (2016),7.3,69        ,"17,125"
1749,The Good Neighbor,(2016),6.3,32        ,"16,983"
1750,Logan,(2017),8.1,77        ,"723,628"
1751,Thor: Ragnarok,(2017),7.9,74        ,"690,891"
1752,Guardians of the Galaxy Vol. 2,(2017),7.6,67        ,"645,031"
1753,Wonder Woman,(2017),7.4,76        ,"634,056"
1754,Dunkirk,(2017),7.8,94        ,"628,093"
1755,Spider-Man: Homecoming,(2017),7.4,73        ,"622,485"
1756,Star Wars: Episode VIII - The Last Jedi,(2017),6.9,84        ,"608,799"
1757,Get Out,(I) (2017),7.7,85        ,"557,110"
1758,Blade Runner 2049,(2017),8.0,81        ,"535,574"
1759,It,(I) (2017),7.3,69        ,"513,458"
1760,Baby Driver,(2017),7.6,86        ,"508,275"
1761,"Three Billboards Outside Ebbing, Missouri",(2017),8.1,88        ,"487,344"
1762,Coco,(I) (2017),8.4,81        ,"472,323"
1763,Justice League,(2017),6.1,45        ,"439,548"
1764,John Wick: Chapter 2,(2017),7.5,75        ,"412,594"
1765,The Shape of Water,(2017),7.3,87        ,"407,514"
1766,Jumanji: Welcome to the Jungle,(2017),6.9,58        ,"362,878"
1767,Kingsman: The Golden Circle,(2017),6.7,44        ,"315,415"
